id,name,followers,genres,popularity,related_artists
7t7KCNFOwuMChaQg6L8I69,Jacob Latimore,173572,"['pop r&b', 'r&b']",43,
74EhQOxqIuZSj1wsMLQabN,Lou Phelps,29178,['canadian hip hop'],41,
2kxP07DLgs4xlWz8YHlvfh,NIKI,1585443,"['indonesian r&b', 'pop']",72,
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,884759,['pop'],68,
0ENnerFBtqPaVUcHadXU2w,Hojean,111339,['chill r&b'],53,
1dPSMH55yhvjYIwqCP4iDj,Luke Chiang,163604,"['chill r&b', 'pop']",60,
5Z8UTQtTYNu5o5FA66LFgv,Jeremy Passion,155296,"['chill r&b', 'pop', 'pop soul']",55,
45iYm4bGYfT8nY4RxNBhlr,Jereena Montemayor,26372,"['bedroom soul', 'chill r&b']",53,
33crDRqANd3NQHJagZkQ7O,slchld,246046,"['alternative r&b', 'canadian contemporary r&b', 'chill r&b', 'pop']",58,
51KbY36mrjHRQwvSbel74l,Jesse Barrera,28995,['chill r&b'],53,
4FHtVj8v4il9h5HRQ4Ib3n,12AM,34856,"['canadian contemporary r&b', 'sad rap', 'trap soul']",44,
0nRWv1xU9ooWFExNxKTKef,sobhhï,27661,"['gulf hip hop', 'trap soul']",39,
1u92szWM3Un6rslftZUyTJ,K-Si Yang,12121,"['pop r&b', 'trap soul']",33,
0oXFTo5u9yH1zht6gIt4wY,pre kai ro,19694,['trap soul'],42,
1qkiRLdru6TQdeTX0PI1CP,N i G H T S,10199,[],33,
1lAvOODEAbUI5b51WRBbdx,Darci,75723,['trap soul'],61,
4RzbexUO843fc5SLqKEQCr,Aaryan Shah,71632,['trap soul'],61,
6i3sYlO1zUHf5IWHpXt4Sl,KALLITECHNIS,15382,"['alternative r&b', 'canadian contemporary r&b', 'indie r&b', 'montreal indie']",45,
3rTMj1pmRvXBfzAEIk9XX9,Patrick Paige II,26762,"['alternative r&b', 'indie r&b', 'indie soul']",36,
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,306671,"['alternative r&b', 'escape room', 'indie r&b', 'indie soul', 'neo soul', 'r&b']",58,
4UodukR17NIQfNu5uaqm9B,Jamila Woods,186050,"['afrofuturism', 'alternative r&b', 'escape room', 'indie soul']",50,
4MjCR1UWWJTXBTw344yKr4,Ashlee,13130,[],42,
4vo5IKFugn33ytkc7xHvEk,Daniel Di Angelo,9676,['trap soul'],44,
3UzhllIYKcLay5xslYF85U,Dxvn.,9381,['trap soul'],43,
57VgMJ0yUybcQIppZESbw2,SWIM,4006,['trap soul'],34,
1DIr8qPcgJS50FFNfC3nnp,Honors,33711,['canadian contemporary r&b'],41,
1tJnPDE5oPDB6ZqMsCTTYx,PatrickReza,23274,['la pop'],46,
2iTUm1HTcazZpWGtCw5qAr,Elvis Drew,12932,[],54,
4AUPm9yTN47XYKXCJigth8,Boy Epic,64510,"['alt z', 'bossbeat', 'indie poptimism']",42,
3p2pMpzDerhMR4w2xZyHWg,Rosenfeld,73619,[],54,
2WHVbKysnJdhkB4VBWxC3v,King Kavalier,6093,[],52,
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,505717,"['alternative r&b', 'bedroom pop', 'bedroom soul', 'indie r&b', 'pop', 'r&b']",66,
2efrqekWSHlvhATD50AG3m,Orion Sun,133338,"['alternative r&b', 'bedroom pop', 'chill r&b', 'indie r&b', 'indie soul']",53,
5XQRfs0gXs30aWUn1Umves,Choker,180654,"['alternative r&b', 'indie r&b', 'indie soul']",47,
00OF0nwYaoBSO3AnPVq3vE,Johnny Stimson,173491,"['chill r&b', 'pop']",56,
5S68VYXiXt6oq30pKqQAuV,Dane Amar,15640,"['asian american hip hop', 'chill r&b']",52,
6YloMIsWjpHzIRK8s5tzAr,Gabe Bondoc,74695,['chill r&b'],48,
0QGDb8TBWIT06W4BoyAggg,Finding Hope,196255,"['chill r&b', 'pop']",56,
7zrkFhYAp6dBxsydmJkouN,lullaboy,37015,['chill r&b'],54,
7KoTRIhjkIQy2L8RjWDpfF,Fern.,78334,"['chill r&b', 'opm', 'pinoy indie']",52,
7dOswEYzOtTMECumrZ3NHY,Teddy Adhitya,125183,"['indonesian indie', 'indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']",52,
